"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login","validate the negative login functionality","0","0","2","0","0"
"","Add Education Category Article","Validate the positive functionality (Schedule)","0","0","3","0","0"
"","Add Area Category Teritorial","Validate the positive functionality","0","0","1","0","0"
"","Add OPT Category Gulma","Validate the positive functionality","0","0","1","0","0"
"","Add Product Category","Validate the positive functionality","0","0","1","0","0"
"","Forget Password","validate the positive functionality","0","0","2","0","0"
"","Login","validate the positive functionality","0","0","1","0","0"
"","Add Area Category Field Promotor","Validate the positive functionality","0","0","1","0","0"
"","Add OPT Category Hama","Validate the positive functionality","0","0","2","0","0"
"","Add Education Category Video","Validate the positive functionality (Schedule)","0","0","1","0","0"
"","Add Area Category Regional","Validate the positive functionality","0","0","1","0","0"
